affectation_actuelle;affectation_9_juillet;affectation_3_septembre;affectation_4_mars;affectation_26_aout;parc_keolis;contrat_michelin;immatriculation;n_de_serie;mise_en_circulation;modele;certificat_immatriculation;nouvelle_licence_communautaire;gabarit;nb_places;id_modele
JP;JP;JP;JP;JP;119109;+;BY-527-TE;WEB62808313702692;08/12/2011;CITARO;KPA Rue Georges Claude;53;Autobus standard;108;1
JP;JP;JP;JP;JP;119110;+;BY-492-TE;WEB62808313702710;08/12/2011;CITARO;KPA Rue Georges Claude;50;Autobus standard;108;1
JP;GC;JP;JP;JP;119111;+;BY-451-TE;WEB62808313702647;08/12/2011;CITARO;KPA Rue Georges Claude;57;Autobus standard;108;1
GC;GC;GC;GC;GC;119112;+;BY-441-TE;WEB62808313702648;08/12/2011;CITARO;KPA Rue Georges Claude;22;Autobus standard;108;1
GC;GC;GC;GC;GC;119113;+;BY-576-TE;WEB62808313702649;08/12/2011;CITARO;KPA Rue Georges Claude;99;Autobus standard;108;1
JP;JP;JP;JP;JP;119114;+;BY-545-TE;WEB62808313702650;08/12/2011;CITARO;KPA Rue Georges Claude;51;Autobus standard;108;1
GC;GC;GC;GC;GC;119115;+;BY-551-TE;WEB62808313702651;08/12/2011;CITARO;KPA Rue des Cordeliers;93;Autobus standard;108;1
GC;GC;GC;GC;GC;119116;+;BY-506-TE;WEB62808313702653;08/12/2011;CITARO;KPA Rue Georges Claude;100;Autobus standard;108;1
GC;GC;GC;GC;GC;119117;+;BY-498-TE;WEB62808313702654;08/12/2011;CITARO;KPA Rue Georges Claude;92;Autobus standard;108;1
JP;JP;JP;JP;JP;119119;+;BY-607-TE;WEB62808313702656;08/12/2011;CITARO;KPA Rue des Cordeliers;56;Autobus standard;108;1
JP;JP;JP;JP;JP;119120;+;BY-535-TE;WEB62808313702657;08/12/2011;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
JP;JP;JP;JP;JP;119121;+;BY-565-TE;WEB62808313702658;08/12/2011;CITARO;KPA Rue Georges Claude;54;Autobus standard;108;1
JP;GC;JP;JP;JP;119122;+;BY-487-XC;WEB62808313702660;12/12/2011;CITARO;KPA Rue Georges Claude;73;Autobus standard;108;1
JP;GC;JP;JP;JP;119123;+;BY-498-XC;WEB62808313702665;12/12/2011;CITARO;KPA Rue Georges Claude;58;Autobus standard;108;1
JP;JP;JP;JP;JP;119124;+;BY-510-XC;WEB62808313702671;12/12/2011;CITARO;KPA Rue Georges Claude;88;Autobus standard;108;1
